release,delay,final,reaction,invariant
true*,del,fin,false*,inv
rel,false*,fin,false*,false*
false*,del,true*,false*,inv
false*,del,true*,false*,true*
false*,true*,true*,false*,inv
false*,false*,true*,false*,inv
false*,false*,true*,false*,true*
true*,del,fin,rea,false*
true*,del,fin,true*,false*
true*,del,fin,false*,false*
true*,del,true*,rea,false*
true*,del,true*,false*,false*
true*,true*,fin,rea,false*
true*,true*,fin,true*,false*
true*,true*,fin,false*,false*
true*,true*,true*,rea,false*
true*,true*,true*,false*,false*
true*,false*,fin,rea,false*
true*,false*,fin,true*,false*
true*,false*,fin,false*,false*
true*,false*,true*,rea,inv
true*,false*,true*,rea,true*
true*,false*,true*,rea,false*
true*,false*,true*,false*,inv
true*,false*,true*,false*,true*
true*,false*,true*,false*,false*
